book_id	isbn	title	author	publisher	total_pages	cover_url
b123	9788937460272	다섯째 아이	도리스 레싱	민음사	224	https://image.aladin.co.kr/product/19/82/cover500/s632933848_1.jpg
b124	9788937460296	농담	밀란 쿤데라	민음사	540	https://image.aladin.co.kr/product/19/82/cover500/s672933848_1.jpg
b125	9788937426926	야성의 부름	잭 런던	민음사	276	https://image.aladin.co.kr/product/816/17/cover500/8937426927_3.jpg
b126	9788937460319	아메리칸	헨리 제임스	민음사	534	https://image.aladin.co.kr/product/19/82/cover500/s642933848_1.jpg
b127	9788937460326	양철북 1	귄터 그라스	민음사	540	https://image.aladin.co.kr/product/20/74/cover500/s432933848_1.jpg
b128	9788937460333	양철북 2	귄터 그라스	민음사	564	https://image.aladin.co.kr/product/20/74/cover500/s622933848_1.jpg
b129	9788937460340	백년의 고독 1	가브리엘 가르시아 마르케스	민음사	324	https://image.aladin.co.kr/product/21/76/cover500/s172933848_1.jpg
b130	9788937460357	백년의 고독 2	가브리엘 가르시아 마르케스	민음사	331	https://image.aladin.co.kr/product/21/76/cover500/8937460351_3.jpg
b131	9788937460364	마담 보바리	귀스타브 플로베르	민음사	628	https://image.aladin.co.kr/product/22/31/cover500/s132933054_1.jpg
b132	9788937460371	거미여인의 키스	마누엘 푸익	민음사	440	https://image.aladin.co.kr/product/23/69/cover500/s142933054_1.jpg
b133	9788937460395	폴란드의 풍차	장 지오노	민음사	244	https://image.aladin.co.kr/product/25/6/cover500/8937460394_3.jpg
b134	9788937460401	독일어 시간 1	지크프리트 렌츠	민음사	352	https://image.aladin.co.kr/product/25/7/cover500/8937460408_3.jpg
b135	9788937460418	독일어 시간 2	지크프리트 렌츠	민음사	328	https://image.aladin.co.kr/product/25/7/cover500/8937460416_2.jpg
b136	9788937425370	말테의 수기	라이너 마리아 릴케	민음사	316	https://image.aladin.co.kr/product/54/0/cover500/8937425378_3.jpg
b137	9788937460432	고도를 기다리며	사뮈엘 베케트	민음사	180	https://image.aladin.co.kr/product/25/65/cover500/s242933053_1.jpg
b138	9788937460463	카탈로니아 찬가	조지 오웰	민음사	352	https://image.aladin.co.kr/product/27/80/cover500/s162933259_1.jpg
b139	9788937460470	호밀밭의 파수꾼	제롬 데이비드 샐린저	민음사	320	https://image.aladin.co.kr/product/30882/22/cover500/8937460475_2.jpg
b140	9788937460487	파르마의 수도원 1	스탕달	민음사	448	https://image.aladin.co.kr/product/28/96/cover500/8937460483_3.jpg
b141	9788937460500	수레바퀴 아래서	헤르만 헤세	민음사	292	https://image.aladin.co.kr/product/29/21/cover500/s172933259_1.jpg
b142	9788937479793	내 이름은 빨강 1	오르한 파묵	민음사	404	https://image.aladin.co.kr/product/21424/16/cover500/8937479796_3.jpg
b143	9788937479809	내 이름은 빨강 2	오르한 파묵	민음사	408	https://image.aladin.co.kr/product/21424/51/cover500/893747980x_2.jpg
b144	9788937460555	모래의 여자	아베 코보	민음사	248	https://image.aladin.co.kr/product/30/42/cover500/s932934786_1.jpg
b145	9788937460562	부덴브로크 가의 사람들 1	토마스 만	민음사	522	https://image.aladin.co.kr/product/30/56/cover500/8937460564_3.jpg
