place_id,name,name_languages,address,primary_type,rating,review_count,photo_count,has_hours,has_summary,business_status,has_website,review_sample_langs,foreign_reviews_in_sample,maps_url
ChIJ1RTYAcTraDURVHZlQEuYii4,버거스 올마이티 서면점,ko,대한민국 부산광역시 부산진구 서면로68번길 16,hamburger_restaurant,4.4,289,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=3353660321501115988&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJK42C1S7raDURzi6Nu1aMMnQ,회전초밥 스시로 부산서면점,ko,대한민국 부산광역시 부산진구 중앙대로 672 삼정타워 6F,sushi_restaurant,3.6,279,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=8372908961376841422&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJTzJXtG_raDURE46-b4Cte90,가야밀면 서면점,ko,대한민국 부산광역시 부산진구 서면로68번길 5,korean_restaurant,3.8,277,10,Yes,No,OPERATIONAL,No,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=15959540471659662867&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJ3wTeYZrraDURozDZg_Op_pI,청기와타운 서면점,ko,대한민국 부산광역시 부산진구 중앙대로691번길 46,korean_barbecue_restaurant,4.9,264,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=10592090236976181411&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJVdv5pHnraDURjuIzUTfuvxw,버거킹 부산서면일번가점,ko,대한민국 부산광역시 부산진구 서면로 48 현경메디컬빌딩 1F,fast_food_restaurant,4.2,159,10,Yes,Yes,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=2071636274966684302&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJO1BuRQPraDURTcFUSpfh-4w,소장각 서면본점,ko,대한민국 부산광역시 부산진구 동천로95번길 4-1,korean_restaurant,4.8,155,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=10158961424367665485&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJafp83IrraDURRPg783aE3-o,솔솥 서면점,ko,대한민국 부산광역시 부산진구 동천로 51-1,korean_restaurant,4.2,151,10,Yes,No,OPERATIONAL,No,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=16924391571103414340&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJJ5O8SBbraDURhA5Zf7cSm8g,서면 곱,ko,대한민국 부산광역시 부산진구 가야대로784번길 7 1층,restaurant,4.8,148,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=14455168008300596868&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJHx56XKrraDURz-wMAU5x964,서면소갈비살 본점 | Busan Sogalbisal Seomyeon,ko+en,대한민국 부산광역시 부산진구 부전동 동천로 91-8 1층,korean_restaurant,5,141,10,Yes,No,OPERATIONAL,No,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=12607670261686004943&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJ2XriRDXraDURsL1RW87hn54,장덕풍천장어 서면직영점 Seomyeon Restaurant 서면 맛집 西面美食 西面グルメ,ko+en+ja+zh,대한민국 부산광역시 부산진구 서면로 31 장덕장어 서면직영점 1층,japanese_restaurant,4.7,134,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=11430102655701204400&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJkZyB_2_raDURwfBUgKCYvI0,맘스터치 부산서면점,ko,대한민국 부산광역시 부산진구 중앙대로692번길 25 2F,fast_food_restaurant,4,131,10,Yes,No,OPERATIONAL,No,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=10213205870084681921&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJDateVXDraDURdIHRcWvaLKU,어쭈 서면본점,ko,대한민국 부산광역시 부산진구 서면로 26,seafood_restaurant,3.9,131,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=11902128070239289716&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
